N,backend,solver,repeat,time_s
40,cpu,sor,1,0.163361375
40,cpu,sor,2,0.144259375
40,cpu,sor,3,0.156943625
40,cpu,sor,4,0.151185042
40,cpu,sor,5,0.156598584
40,cpu,sor,6,0.156952208
40,cpu,sor,7,0.140018625
40,cpu,sor,8,0.140934375
40,cpu,sor,9,0.159053542
40,cpu,sor,10,0.162888416
40,cpu,sor,11,0.160744625
40,cpu,sor,12,0.169679583
40,cpu,sor,13,0.141535042
40,cpu,sor,14,0.154837542
40,cpu,sor,15,0.144889042
40,cpu,sor,16,0.136750167
40,cpu,sor,17,0.1539775
40,cpu,sor,18,0.159571375
40,cpu,sor,19,0.143813584
40,cpu,sor,20,0.15262975
60,cpu,sor,1,0.353068417
60,cpu,sor,2,0.375019666
60,cpu,sor,3,0.395744583
60,cpu,sor,4,0.413492209
60,cpu,sor,5,0.726078625
60,cpu,sor,6,0.390852375
60,cpu,sor,7,0.400394459
60,cpu,sor,8,0.384227958
60,cpu,sor,9,0.399596834
60,cpu,sor,10,0.383740792
60,cpu,sor,11,0.37844025
60,cpu,sor,12,0.375445875
60,cpu,sor,13,0.375742084
60,cpu,sor,14,0.376512792
60,cpu,sor,15,0.2679365
60,cpu,sor,16,0.366358917
60,cpu,sor,17,0.3267865
60,cpu,sor,18,0.363785875
60,cpu,sor,19,0.369635083
60,cpu,sor,20,0.365307875
80,cpu,sor,1,0.568988833
80,cpu,sor,2,0.609708208
80,cpu,sor,3,0.655697041
80,cpu,sor,4,0.578044333
80,cpu,sor,5,0.620182917
80,cpu,sor,6,0.659026
80,cpu,sor,7,0.868227083
80,cpu,sor,8,0.564436708
80,cpu,sor,9,0.698156583
80,cpu,sor,10,0.587806042
80,cpu,sor,11,0.576598125
80,cpu,sor,12,0.671847583
80,cpu,sor,13,0.642682209
80,cpu,sor,14,0.562405292
80,cpu,sor,15,0.55851375
80,cpu,sor,16,0.580337
80,cpu,sor,17,0.557261083
80,cpu,sor,18,0.631762208
80,cpu,sor,19,0.610893125
80,cpu,sor,20,0.651315041
100,cpu,sor,1,1.080310167
100,cpu,sor,2,0.966986208
100,cpu,sor,3,0.969007542
100,cpu,sor,4,0.983787375
100,cpu,sor,5,1.021996792
100,cpu,sor,6,0.9069365
100,cpu,sor,7,1.207134917
100,cpu,sor,8,0.938360833
100,cpu,sor,9,0.871491834
100,cpu,sor,10,0.885531
100,cpu,sor,11,1.047552083
100,cpu,sor,12,0.9410315
100,cpu,sor,13,1.205156583
100,cpu,sor,14,1.026048708
100,cpu,sor,15,1.020129583
100,cpu,sor,16,1.007368458
100,cpu,sor,17,0.905477917
100,cpu,sor,18,0.805838667
100,cpu,sor,19,1.079929792
100,cpu,sor,20,1.221137417
120,cpu,sor,1,1.419773125
120,cpu,sor,2,1.105951292
120,cpu,sor,3,1.335700667
120,cpu,sor,4,1.1730955
120,cpu,sor,5,1.233840083
120,cpu,sor,6,1.596725625
120,cpu,sor,7,1.366431583
120,cpu,sor,8,1.526857292
120,cpu,sor,9,1.184098875
120,cpu,sor,10,1.309982584
120,cpu,sor,11,1.074008333
120,cpu,sor,12,1.234911084
120,cpu,sor,13,1.689628625
120,cpu,sor,14,1.340267166
120,cpu,sor,15,1.406087875
120,cpu,sor,16,1.264294292
120,cpu,sor,17,1.439977583
120,cpu,sor,18,1.417634084
120,cpu,sor,19,1.347258166
120,cpu,sor,20,1.640949917
140,cpu,sor,1,2.151613917
140,cpu,sor,2,1.915667542
140,cpu,sor,3,2.161679208
140,cpu,sor,4,1.752956292
140,cpu,sor,5,2.012844959
140,cpu,sor,6,1.63778425
140,cpu,sor,7,1.649197042
140,cpu,sor,8,2.201993708
140,cpu,sor,9,1.902340208
140,cpu,sor,10,1.8308435
140,cpu,sor,11,1.921012583
140,cpu,sor,12,2.00732825
140,cpu,sor,13,1.847959708
140,cpu,sor,14,1.867662417
140,cpu,sor,15,1.733860875
140,cpu,sor,16,1.970202792
140,cpu,sor,17,1.385816292
140,cpu,sor,18,1.848418708
140,cpu,sor,19,1.778106583
140,cpu,sor,20,1.92651125
160,cpu,sor,1,2.523450041
160,cpu,sor,2,2.497974583
160,cpu,sor,3,2.316897084
160,cpu,sor,4,2.332199417
160,cpu,sor,5,2.180192416
160,cpu,sor,6,2.465182416
160,cpu,sor,7,2.537829708
160,cpu,sor,8,2.433317209
160,cpu,sor,9,2.586511917
160,cpu,sor,10,2.456741333
160,cpu,sor,11,2.286086042
160,cpu,sor,12,2.402618125
160,cpu,sor,13,2.338417667
160,cpu,sor,14,2.703960417
160,cpu,sor,15,2.311200625
160,cpu,sor,16,2.354201333
160,cpu,sor,17,2.36985125
160,cpu,sor,18,2.543179916
160,cpu,sor,19,2.38346525
160,cpu,sor,20,2.360206917
180,cpu,sor,1,3.115984542
180,cpu,sor,2,2.832406875
180,cpu,sor,3,2.865412792
180,cpu,sor,4,2.760581542
