N,backend,solver,mean_time_s,std_time_s,n_repeats
40,cpu,multigrid,0.05624552705,0.0025326759527050575,20
60,cpu,multigrid,0.10737049574999999,0.003703668896657786,20
80,cpu,multigrid,0.17523791445000003,0.05034906236554808,20
100,cpu,multigrid,0.23356285835,0.006506568769025371,20
120,cpu,multigrid,0.33344412085,0.012824033296353288,20
140,cpu,multigrid,0.44395116869999995,0.05616593966693398,20
160,cpu,multigrid,0.5713202396000001,0.025123453080381636,20
180,cpu,multigrid,0.7144363124499999,0.08865692486176176,20
200,cpu,multigrid,0.8633937666,0.059465256231529984,20
40,cpu,rb_sor,0.0662583312,0.003310563464512692,20
60,cpu,rb_sor,0.14056391245,0.05808560925706833,20
80,cpu,rb_sor,0.2166544333,0.04693307681179352,20
100,cpu,rb_sor,0.32019446879999997,0.06422573052026324,20
120,cpu,rb_sor,0.42802753744999994,0.08319953975019402,20
140,cpu,rb_sor,0.5695624833499999,0.09973237975357138,20
160,cpu,rb_sor,0.7269429188000001,0.12080702508480039,20
180,cpu,rb_sor,0.8961964478000001,0.11585153901089838,20
200,cpu,rb_sor,1.08249240215,0.08506371973906665,20
40,cpu,sor,0.15253116885,0.009196160969573115,20
60,cpu,sor,0.38940838345,0.08500310923027535,20
80,cpu,sor,0.6226944582,0.07176888043679182,20
100,cpu,sor,1.0045606938000002,0.1134860913536439,20
120,cpu,sor,1.3553736875499998,0.16906401060218879,20
140,cpu,sor,1.8751900042000003,0.19365942484423887,20
160,cpu,sor,2.4191741833,0.12184613947225927,20
180,cpu,sor,3.0144438501,0.17752722041430918,20
200,cpu,sor,3.618510781250001,0.34700301772793657,20
40,metal,multigrid,5.010187935399999,0.04365516175433559,20
60,metal,multigrid,5.37265356045,0.5325143130713267,20
80,metal,multigrid,5.635813027199999,0.38155176965250787,20
100,metal,multigrid,5.731542900149999,0.30254741946168606,20
120,metal,multigrid,6.0552079478,0.5063164330638411,20
140,metal,multigrid,6.54010163535,0.4663131541735363,20
160,metal,multigrid,6.9771351917,0.5783846043069082,20
180,metal,multigrid,7.184084729149999,0.42623807171734057,20
200,metal,multigrid,7.752224812499999,0.7632026297619621,20
40,metal,rb_sor,1.1065004001499998,0.08763225652372962,20
60,metal,rb_sor,0.9998277625500002,0.1313662787658438,20
80,metal,rb_sor,0.92745465825,0.3095940163209511,20
100,metal,rb_sor,0.8725494270999998,0.15999822482542989,20
120,metal,rb_sor,0.84070718555,0.046095344585713925,20
140,metal,rb_sor,0.9758622207999998,0.20875494574310688,20
160,metal,rb_sor,0.9525552959000001,0.09870584357743917,20
180,metal,rb_sor,0.9225732208,0.04349814363818589,20
200,metal,rb_sor,1.0024798042000003,0.2415289060118575,20
