N,backend,solver,repeat,time_s
10,cpu,sor,1,0.008947625
10,cpu,sor,2,0.009260792
10,cpu,sor,3,0.01015425
10,cpu,sor,4,0.009721834
10,cpu,sor,5,0.054472334
10,cpu,sor,6,0.008057208
10,cpu,sor,7,0.008687792
10,cpu,sor,8,0.009201791
10,cpu,sor,9,0.009439708
10,cpu,sor,10,0.022095
10,cpu,sor,11,0.008487583
10,cpu,sor,12,0.008714709
10,cpu,sor,13,0.008601208
10,cpu,sor,14,0.0097585
10,cpu,sor,15,0.012930792
10,cpu,sor,16,0.008433708
10,cpu,sor,17,0.008597166
10,cpu,sor,18,0.011374834
10,cpu,sor,19,0.00831025
10,cpu,sor,20,0.007990625
100,cpu,sor,1,1.027171583
100,cpu,sor,2,0.911816916
100,cpu,sor,3,1.169490166
100,cpu,sor,4,0.956905291
100,cpu,sor,5,1.00336125
100,cpu,sor,6,0.900676709
100,cpu,sor,7,0.979099042
100,cpu,sor,8,1.122102375
100,cpu,sor,9,0.8566135
100,cpu,sor,10,0.874118
100,cpu,sor,11,1.041842834
100,cpu,sor,12,0.93240825
100,cpu,sor,13,1.154759334
100,cpu,sor,14,1.036568375
100,cpu,sor,15,1.012000334
100,cpu,sor,16,0.9961465
100,cpu,sor,17,0.895762917
100,cpu,sor,18,0.986806666
100,cpu,sor,19,1.071669083
100,cpu,sor,20,0.998238292
1000,cpu,sor,1,57.5985545
1000,cpu,sor,2,73.562673
1000,cpu,sor,3,71.66198025
1000,cpu,sor,4,69.299678834
1000,cpu,sor,5,59.223419542
1000,cpu,sor,6,64.617843333
1000,cpu,sor,7,61.925624084
1000,cpu,sor,8,59.949525375
1000,cpu,sor,9,57.216881125
1000,cpu,sor,10,62.826966083
1000,cpu,sor,11,59.39908575
1000,cpu,sor,12,71.381656083
1000,cpu,sor,13,70.803328
1000,cpu,sor,14,69.867126958
1000,cpu,sor,15,67.304314375
1000,cpu,sor,16,69.835685916
1000,cpu,sor,17,69.184633458
1000,cpu,sor,18,58.078755541
1000,cpu,sor,19,59.864601917
1000,cpu,sor,20,73.684060708
10000,cpu,sor,1,2802.43328725
10000,cpu,sor,2,2867.532552542
10000,cpu,sor,3,3541.930427125
10000,cpu,sor,4,1733.841710208
10000,cpu,sor,5,1993.362142375
10000,cpu,sor,6,2292.268418333
10000,cpu,sor,7,1760.857220916
10000,cpu,sor,8,1926.692995875
10000,cpu,sor,9,1616.344490167
10000,cpu,sor,10,1832.597119958
10000,cpu,sor,11,2010.237358834
10000,cpu,sor,12,1926.437193958
10000,cpu,sor,13,2229.770296541
